couples,interactions
"A Lord, Ophelia",0
"Hamlet, Ophelia",0
"Fortinbras, Lords",0
"Francisco, Gentlemen",0
"Ambassadors from Norway, First Clown",0
"A Lord, First Sailor",0
"Players, Priest",0
"Players, Second Clown",0
"Osric, Polonius",0
"Gentlemen, King Fortinbras",0
"Polonius, Servant",0
"First Sailor, Polonius",0
"Cornelius, King Fortinbras",0
"Bernardo, Horatio",0
"Laertes, Messenger",0
"Ambassadors from Norway, Lucianus",0
"Laertes, Reynaldo",0
"Priest, Servant",0
"Guildenstern, Laertes",0
"Horatio, Polonius",0
"First Ambassador, Hamlet",0
"Osric, Priest",0
"First Clown, Lucianus",0
"Ambassadors from Norway, Ghost",0
"First Sailor, Priest",0
"First Sailor, Second Clown",0
"Marcellus, Voltimand",0
"First Clown, Ghost",0
"Francisco, Second Clown",0
"A Lord, Guildenstern",0
"Attendants, Cornelius",0
"Francisco, Ophelia",0
"Horatio, Priest",0
"Reynaldo, Second Clown",0
"Horatio, Second Clown",0
"Ophelia, Rosencrantz",0
"Lords, Marcellus",0
"Gentlemen, King Claudius",0
"Ambassadors from Norway, Laertes",0
"Cornelius, King Claudius",0
"Attendants, Polonius",0
"Laertes, Lucianus",0
"Lords, Servant",0
"Ghost, Queen Gertrude",0
"First Clown, Laertes",0
"Captain, Servant",0
"First Player, Polonius",0
"A Lord, Voltimand",0
"Osric, Reynaldo",0
"Lucianus, Ophelia",0
"Bernardo, Captain",0
"Fortinbras, Gentlemen",0
"Lords, Players",0
"Captain, King Claudius",0
"Attendants, Priest",0
"Bernardo, Marcellus",0
"Priest, Prince Fortinbras",0
"Attendants, Osric",0
"First Player, Priest",0
"First Player, Second Clown",0
"Ambassadors from Norway, Horatio",0
"Francisco, Guildenstern",0
"Cornelius, First Player",0
"First Clown, Horatio",0
"Attendants, Fortinbras",0
"King Claudius, King Fortinbras",0
"Bernardo, Players",0
"King Fortinbras, Rosencrantz",0
"Ambassadors from Norway, Player Queen",0
"Queen Gertrude, Reynaldo",0
"First Sailor, Lucianus",0
"Messenger, Player Queen",0
"Captain, First Player",0
"Fortinbras, Second Clown",0
"Fortinbras, Ophelia",0
"First Clown, Player Queen",0
"Attendants, Bernardo",0
"Francisco, Voltimand",0
"Attendants, Reynaldo",0
"Prince Fortinbras, Servant",0
"A Lord, First Ambassador",0
"Horatio, Lucianus",0
"First Sailor, Ghost",0
"Reynaldo, Voltimand",0
"Lords, Prince Fortinbras",0
"Cornelius, Player King",0
"Horatio, Voltimand",0
